symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-21 15:00:00,1855.73,1856.68,1847.13,1847.73,6798.0
IC MARKETS:10012,2023-08-21 15:30:00,1847.63,1849.88,1844.13,1846.93,6016.0
IC MARKETS:10012,2023-08-21 16:00:00,1846.88,1851.18,1845.58,1850.23,5158.0
IC MARKETS:10012,2023-08-21 16:30:00,1850.28,1850.78,1847.53,1850.38,4474.0
IC MARKETS:10012,2023-08-21 17:00:00,1850.33,1853.93,1848.63,1853.03,4072.0
IC MARKETS:10012,2023-08-21 17:30:00,1853.13,1855.93,1852.83,1854.38,4008.0
IC MARKETS:10012,2023-08-21 18:00:00,1854.43,1857.43,1853.83,1855.13,3618.0
IC MARKETS:10012,2023-08-21 18:30:00,1855.23,1858.03,1854.53,1856.78,3510.0
IC MARKETS:10012,2023-08-21 19:00:00,1856.88,1860.83,1856.88,1859.53,3278.0
IC MARKETS:10012,2023-08-21 19:30:00,1859.43,1861.33,1855.68,1856.88,4028.0
IC MARKETS:10012,2023-08-21 20:00:00,1856.93,1856.93,1855.18,1855.48,1180.0
IC MARKETS:10012,2023-08-21 20:30:00,1855.53,1856.33,1855.38,1856.08,564.0
IC MARKETS:10012,2023-08-21 22:00:00,1855.94,1856.04,1853.94,1854.34,656.0
IC MARKETS:10012,2023-08-21 22:30:00,1854.44,1854.64,1854.09,1854.24,176.0
IC MARKETS:10012,2023-08-21 23:00:00,1854.34,1856.64,1854.24,1856.64,360.0
IC MARKETS:10012,2023-08-21 23:30:00,1856.54,1856.64,1854.64,1854.99,556.0
IC MARKETS:10012,2023-08-22 00:00:00,1854.94,1855.24,1852.74,1853.64,1240.0
IC MARKETS:10012,2023-08-22 00:30:00,1853.74,1855.49,1853.14,1855.44,736.0
IC MARKETS:10012,2023-08-22 01:00:00,1855.49,1855.59,1853.19,1855.54,1256.0
IC MARKETS:10012,2023-08-22 01:30:00,1855.64,1856.84,1853.39,1854.94,1504.0
IC MARKETS:10012,2023-08-22 02:00:00,1854.99,1857.14,1854.64,1856.54,1278.0
IC MARKETS:10012,2023-08-22 02:30:00,1856.64,1857.14,1855.24,1855.84,668.0
IC MARKETS:10012,2023-08-22 03:00:00,1855.94,1857.39,1855.59,1857.14,828.0
IC MARKETS:10012,2023-08-22 03:30:00,1857.24,1857.24,1856.34,1856.54,690.0
IC MARKETS:10012,2023-08-22 04:00:00,1856.59,1856.59,1855.84,1856.24,316.0
IC MARKETS:10012,2023-08-22 04:30:00,1856.29,1856.44,1855.54,1855.64,562.0
IC MARKETS:10012,2023-08-22 05:00:00,1855.69,1856.69,1854.79,1855.74,1000.0
IC MARKETS:10012,2023-08-22 05:30:00,1855.79,1855.94,1854.39,1855.94,876.0
IC MARKETS:10012,2023-08-22 06:00:00,1855.84,1859.85,1854.79,1858.8,1376.0
IC MARKETS:10012,2023-08-22 06:30:00,1858.9,1859.35,1857.6,1859.25,1012.0
IC MARKETS:10012,2023-08-22 07:00:00,1859.2,1861.5,1857.3,1859.0,2362.0
IC MARKETS:10012,2023-08-22 07:30:00,1858.9,1863.9,1858.5,1862.8,2120.0
IC MARKETS:10012,2023-08-22 08:00:00,1862.9,1863.4,1861.0,1861.55,1940.0
IC MARKETS:10012,2023-08-22 08:30:00,1861.5,1863.5,1861.1,1863.4,1574.0
IC MARKETS:10012,2023-08-22 09:00:00,1863.45,1864.1,1862.3,1863.85,1716.0
IC MARKETS:10012,2023-08-22 09:30:00,1864.1,1865.7,1863.85,1864.85,1462.0
IC MARKETS:10012,2023-08-22 10:00:00,1864.8,1866.2,1864.8,1866.0,1180.0
IC MARKETS:10012,2023-08-22 10:30:00,1866.05,1866.9,1865.2,1865.95,1300.0
IC MARKETS:10012,2023-08-22 11:00:00,1865.8,1867.1,1865.05,1866.2,1388.0
IC MARKETS:10012,2023-08-22 11:30:00,1866.15,1868.35,1865.8,1868.0,1322.0
IC MARKETS:10012,2023-08-22 12:00:00,1867.95,1870.25,1867.9,1868.6,1536.0
IC MARKETS:10012,2023-08-22 12:30:00,1868.55,1869.6,1864.25,1864.25,1916.0
IC MARKETS:10012,2023-08-22 13:00:00,1864.1,1864.75,1861.55,1863.95,2106.0
IC MARKETS:10012,2023-08-22 13:30:00,1863.9,1869.44,1852.34,1853.24,9828.0
IC MARKETS:10012,2023-08-22 14:00:00,1853.29,1856.64,1849.99,1852.99,8318.0
IC MARKETS:10012,2023-08-22 14:30:00,1853.14,1855.14,1848.59,1853.99,6972.0
IC MARKETS:10012,2023-08-22 15:00:00,1854.04,1854.54,1849.54,1852.89,5976.0
IC MARKETS:10012,2023-08-22 15:30:00,1852.94,1856.04,1850.89,1851.99,5470.0
IC MARKETS:10012,2023-08-22 16:00:00,1851.79,1852.34,1846.14,1849.29,5068.0
IC MARKETS:10012,2023-08-22 16:30:00,1849.34,1852.14,1846.94,1850.04,4096.0
IC MARKETS:10012,2023-08-22 17:00:00,1849.99,1850.64,1845.59,1849.24,5244.0
IC MARKETS:10012,2023-08-22 17:30:00,1849.19,1850.24,1847.39,1849.54,4642.0
IC MARKETS:10012,2023-08-22 18:00:00,1849.49,1853.94,1847.74,1853.79,4148.0
IC MARKETS:10012,2023-08-22 18:30:00,1853.89,1855.04,1851.39,1853.89,4034.0
IC MARKETS:10012,2023-08-22 19:00:00,1853.84,1857.84,1853.84,1854.94,4302.0
IC MARKETS:10012,2023-08-22 19:30:00,1854.84,1855.39,1850.54,1851.99,5166.0
IC MARKETS:10012,2023-08-22 20:00:00,1852.09,1852.29,1851.19,1851.69,1226.0
IC MARKETS:10012,2023-08-22 20:30:00,1851.74,1852.79,1851.59,1852.69,474.0
IC MARKETS:10012,2023-08-22 22:00:00,1853.15,1854.65,1853.1,1854.25,482.0
IC MARKETS:10012,2023-08-22 22:30:00,1854.3,1854.4,1853.7,1854.25,330.0
IC MARKETS:10012,2023-08-22 23:00:00,1854.3,1854.45,1854.1,1854.35,202.0
IC MARKETS:10012,2023-08-22 23:30:00,1854.5,1854.6,1853.05,1853.7,528.0
IC MARKETS:10012,2023-08-23 00:00:00,1853.65,1856.0,1853.35,1855.8,1078.0
IC MARKETS:10012,2023-08-23 00:30:00,1855.85,1856.4,1855.5,1856.4,854.0
IC MARKETS:10012,2023-08-23 01:00:00,1856.35,1858.05,1855.9,1857.9,1038.0
IC MARKETS:10012,2023-08-23 01:30:00,1858.15,1859.0,1857.5,1858.65,1232.0
IC MARKETS:10012,2023-08-23 02:00:00,1858.75,1859.35,1858.45,1858.75,954.0
IC MARKETS:10012,2023-08-23 02:30:00,1858.8,1859.6,1857.9,1858.55,764.0
IC MARKETS:10012,2023-08-23 03:00:00,1858.45,1858.95,1857.85,1858.05,656.0
IC MARKETS:10012,2023-08-23 03:30:00,1858.0,1859.3,1858.0,1858.5,664.0
