symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-10 23:00:00,1924.09,1925.39,1923.49,1924.49,846.0
IC MARKETS:10012,2023-08-11 00:00:00,1924.44,1926.39,1924.19,1925.89,1656.0
IC MARKETS:10012,2023-08-11 01:00:00,1926.04,1926.29,1923.44,1923.59,2006.0
IC MARKETS:10012,2023-08-11 02:00:00,1923.64,1923.74,1920.89,1921.49,1982.0
IC MARKETS:10012,2023-08-11 03:00:00,1921.59,1922.74,1919.79,1920.34,1696.0
IC MARKETS:10012,2023-08-11 04:00:00,1920.29,1920.49,1919.24,1920.24,1302.0
IC MARKETS:10012,2023-08-11 05:00:00,1920.19,1923.14,1919.49,1922.94,1484.0
IC MARKETS:10012,2023-08-11 06:00:00,1922.84,1924.6,1921.0,1924.1,2960.0
IC MARKETS:10012,2023-08-11 07:00:00,1924.15,1927.2,1923.1,1924.55,3980.0
IC MARKETS:10012,2023-08-11 08:00:00,1924.75,1924.75,1919.35,1922.6,3854.0
IC MARKETS:10012,2023-08-11 09:00:00,1922.65,1925.9,1920.65,1922.25,4112.0
IC MARKETS:10012,2023-08-11 10:00:00,1922.3,1926.35,1921.8,1923.9,3532.0
IC MARKETS:10012,2023-08-11 11:00:00,1923.8,1926.15,1921.3,1922.0,3644.0
IC MARKETS:10012,2023-08-11 12:00:00,1921.85,1924.9,1916.1,1916.1,8152.0
IC MARKETS:10012,2023-08-11 13:00:00,1916.05,1921.59,1912.05,1918.79,11576.0
IC MARKETS:10012,2023-08-11 14:00:00,1920.39,1932.14,1919.84,1924.94,17040.0
IC MARKETS:10012,2023-08-11 15:00:00,1925.04,1927.19,1919.89,1926.34,11290.0
IC MARKETS:10012,2023-08-11 16:00:00,1926.14,1930.04,1922.09,1923.64,10008.0
IC MARKETS:10012,2023-08-11 17:00:00,1923.54,1926.89,1921.24,1924.04,8606.0
IC MARKETS:10012,2023-08-11 18:00:00,1924.09,1927.59,1923.29,1926.79,8878.0
IC MARKETS:10012,2023-08-11 19:00:00,1926.69,1928.14,1923.14,1924.99,8984.0
IC MARKETS:10012,2023-08-11 20:00:00,1925.19,1926.44,1924.84,1925.34,1810.0
IC MARKETS:10012,2023-08-13 22:00:00,1925.01,1929.56,1924.76,1927.86,1718.0
IC MARKETS:10012,2023-08-13 23:00:00,1927.76,1928.76,1927.01,1927.71,880.0
IC MARKETS:10012,2023-08-14 00:00:00,1927.81,1928.46,1923.86,1924.26,2846.0
IC MARKETS:10012,2023-08-14 01:00:00,1924.11,1925.16,1920.56,1922.71,3784.0
IC MARKETS:10012,2023-08-14 02:00:00,1922.76,1922.91,1917.81,1918.06,2694.0
IC MARKETS:10012,2023-08-14 03:00:00,1917.96,1918.96,1914.36,1917.16,2304.0
IC MARKETS:10012,2023-08-14 04:00:00,1917.11,1917.71,1915.76,1915.86,1818.0
IC MARKETS:10012,2023-08-14 05:00:00,1915.96,1919.46,1915.86,1919.16,2042.0
IC MARKETS:10012,2023-08-14 06:00:00,1919.26,1921.97,1917.97,1921.47,2380.0
IC MARKETS:10012,2023-08-14 07:00:00,1921.42,1933.27,1920.47,1931.37,5250.0
IC MARKETS:10012,2023-08-14 08:00:00,1931.32,1932.62,1926.02,1926.42,5944.0
IC MARKETS:10012,2023-08-14 09:00:00,1926.52,1928.77,1924.92,1926.52,3516.0
IC MARKETS:10012,2023-08-14 10:00:00,1926.62,1929.22,1925.17,1927.77,2856.0
IC MARKETS:10012,2023-08-14 11:00:00,1927.72,1929.12,1924.32,1925.82,2730.0
IC MARKETS:10012,2023-08-14 12:00:00,1925.92,1926.02,1916.72,1919.82,5390.0
IC MARKETS:10012,2023-08-14 13:00:00,1919.77,1919.92,1901.41,1904.66,13020.0
IC MARKETS:10012,2023-08-14 14:00:00,1904.76,1916.26,1903.01,1913.36,15886.0
IC MARKETS:10012,2023-08-14 15:00:00,1913.46,1918.76,1910.26,1916.96,10892.0
IC MARKETS:10012,2023-08-14 16:00:00,1917.01,1919.96,1914.86,1919.11,9758.0
IC MARKETS:10012,2023-08-14 17:00:00,1919.06,1920.46,1916.86,1918.61,8164.0
IC MARKETS:10012,2023-08-14 18:00:00,1918.56,1919.81,1916.26,1919.51,8982.0
IC MARKETS:10012,2023-08-14 19:00:00,1919.56,1922.31,1918.11,1922.31,8806.0
IC MARKETS:10012,2023-08-14 20:00:00,1922.11,1924.61,1921.81,1924.31,1808.0
IC MARKETS:10012,2023-08-14 22:00:00,1923.38,1926.38,1922.08,1925.78,1216.0
IC MARKETS:10012,2023-08-14 23:00:00,1925.73,1926.03,1923.83,1924.23,992.0
IC MARKETS:10012,2023-08-15 00:00:00,1924.18,1924.78,1923.13,1923.68,1672.0
IC MARKETS:10012,2023-08-15 01:00:00,1923.73,1927.83,1923.08,1926.33,3212.0
IC MARKETS:10012,2023-08-15 02:00:00,1926.13,1926.53,1923.93,1924.63,2132.0
IC MARKETS:10012,2023-08-15 03:00:00,1924.68,1925.68,1924.38,1925.63,1268.0
IC MARKETS:10012,2023-08-15 04:00:00,1925.68,1926.23,1925.03,1925.33,834.0
IC MARKETS:10012,2023-08-15 05:00:00,1925.38,1926.03,1922.93,1924.28,1680.0
IC MARKETS:10012,2023-08-15 06:00:00,1924.33,1926.63,1922.04,1922.09,2212.0
IC MARKETS:10012,2023-08-15 07:00:00,1922.24,1923.99,1910.89,1910.99,6284.0
IC MARKETS:10012,2023-08-15 08:00:00,1911.19,1914.69,1908.59,1912.99,5696.0
IC MARKETS:10012,2023-08-15 09:00:00,1912.94,1914.34,1909.94,1911.99,4118.0
IC MARKETS:10012,2023-08-15 10:00:00,1912.09,1914.29,1906.99,1910.49,5360.0
IC MARKETS:10012,2023-08-15 11:00:00,1910.39,1910.99,1903.54,1904.89,4212.0
IC MARKETS:10012,2023-08-15 12:00:00,1904.99,1908.89,1901.59,1904.29,7564.0
IC MARKETS:10012,2023-08-15 13:00:00,1904.19,1912.49,1900.58,1905.93,13644.0
IC MARKETS:10012,2023-08-15 14:00:00,1905.73,1906.43,1895.93,1902.13,16540.0
IC MARKETS:10012,2023-08-15 15:00:00,1902.03,1907.53,1902.03,1903.78,11668.0
IC MARKETS:10012,2023-08-15 16:00:00,1903.73,1905.33,1896.38,1898.63,10644.0
IC MARKETS:10012,2023-08-15 17:00:00,1898.68,1900.63,1896.33,1898.03,9108.0
IC MARKETS:10012,2023-08-15 18:00:00,1898.13,1901.23,1897.48,1900.33,8224.0
IC MARKETS:10012,2023-08-15 19:00:00,1900.23,1901.88,1895.13,1896.58,10546.0
IC MARKETS:10012,2023-08-15 20:00:00,1896.63,1898.38,1896.08,1897.33,2298.0
IC MARKETS:10012,2023-08-15 22:00:00,1897.78,1898.53,1896.83,1898.03,1050.0
IC MARKETS:10012,2023-08-15 23:00:00,1897.98,1899.48,1897.83,1898.83,910.0
IC MARKETS:10012,2023-08-16 00:00:00,1898.88,1899.13,1893.98,1897.08,2486.0
IC MARKETS:10012,2023-08-16 01:00:00,1897.18,1900.08,1895.58,1898.23,3290.0
IC MARKETS:10012,2023-08-16 02:00:00,1898.28,1900.18,1897.18,1898.43,2400.0
IC MARKETS:10012,2023-08-16 03:00:00,1898.58,1900.28,1898.43,1899.33,1650.0
IC MARKETS:10012,2023-08-16 04:00:00,1899.43,1899.53,1897.58,1898.33,1168.0
IC MARKETS:10012,2023-08-16 05:00:00,1898.38,1899.13,1896.68,1897.53,2152.0
IC MARKETS:10012,2023-08-16 06:00:00,1897.43,1899.54,1895.14,1899.19,3114.0
IC MARKETS:10012,2023-08-16 07:00:00,1899.24,1904.64,1898.69,1902.59,4448.0
IC MARKETS:10012,2023-08-16 08:00:00,1902.79,1906.09,1902.54,1903.39,3416.0
IC MARKETS:10012,2023-08-16 09:00:00,1903.34,1903.89,1897.19,1898.59,3152.0
IC MARKETS:10012,2023-08-16 10:00:00,1898.69,1899.39,1896.59,1897.79,3020.0
IC MARKETS:10012,2023-08-16 11:00:00,1897.64,1899.69,1895.54,1899.39,2774.0
IC MARKETS:10012,2023-08-16 12:00:00,1899.34,1900.29,1893.84,1894.29,3794.0
