symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-10 23:00:00,1924.09,1924.59,1923.49,1924.59,290.0
IC MARKETS:10012,2023-08-10 23:30:00,1924.64,1925.39,1924.09,1924.49,556.0
IC MARKETS:10012,2023-08-11 00:00:00,1924.44,1925.49,1924.19,1925.39,892.0
IC MARKETS:10012,2023-08-11 00:30:00,1925.49,1926.39,1924.74,1925.89,764.0
IC MARKETS:10012,2023-08-11 01:00:00,1926.04,1926.29,1924.94,1925.24,910.0
IC MARKETS:10012,2023-08-11 01:30:00,1925.29,1925.54,1923.44,1923.59,1096.0
IC MARKETS:10012,2023-08-11 02:00:00,1923.64,1923.74,1921.39,1921.64,1046.0
IC MARKETS:10012,2023-08-11 02:30:00,1921.79,1922.04,1920.89,1921.49,936.0
IC MARKETS:10012,2023-08-11 03:00:00,1921.59,1922.64,1921.29,1922.64,868.0
IC MARKETS:10012,2023-08-11 03:30:00,1922.69,1922.74,1919.79,1920.34,828.0
IC MARKETS:10012,2023-08-11 04:00:00,1920.29,1920.49,1919.24,1919.94,636.0
IC MARKETS:10012,2023-08-11 04:30:00,1919.89,1920.29,1919.39,1920.24,666.0
IC MARKETS:10012,2023-08-11 05:00:00,1920.19,1921.24,1919.49,1920.99,808.0
IC MARKETS:10012,2023-08-11 05:30:00,1921.04,1923.14,1920.79,1922.94,676.0
IC MARKETS:10012,2023-08-11 06:00:00,1922.84,1923.75,1921.0,1923.25,1728.0
IC MARKETS:10012,2023-08-11 06:30:00,1923.35,1924.6,1922.8,1924.1,1232.0
IC MARKETS:10012,2023-08-11 07:00:00,1924.15,1927.0,1923.1,1926.95,2444.0
IC MARKETS:10012,2023-08-11 07:30:00,1926.9,1927.2,1924.25,1924.55,1536.0
IC MARKETS:10012,2023-08-11 08:00:00,1924.75,1924.75,1921.15,1922.5,2038.0
IC MARKETS:10012,2023-08-11 08:30:00,1922.4,1923.1,1919.35,1922.6,1816.0
IC MARKETS:10012,2023-08-11 09:00:00,1922.65,1925.2,1922.4,1925.1,1704.0
IC MARKETS:10012,2023-08-11 09:30:00,1925.15,1925.9,1920.65,1922.25,2408.0
IC MARKETS:10012,2023-08-11 10:00:00,1922.3,1925.2,1921.8,1924.4,1886.0
IC MARKETS:10012,2023-08-11 10:30:00,1924.6,1926.35,1923.4,1923.9,1646.0
IC MARKETS:10012,2023-08-11 11:00:00,1923.8,1926.15,1923.15,1923.85,1866.0
IC MARKETS:10012,2023-08-11 11:30:00,1923.75,1924.35,1921.3,1922.0,1778.0
IC MARKETS:10012,2023-08-11 12:00:00,1921.85,1924.05,1921.3,1923.85,2150.0
IC MARKETS:10012,2023-08-11 12:30:00,1924.9,1924.9,1916.1,1916.1,6002.0
IC MARKETS:10012,2023-08-11 13:00:00,1916.05,1920.1,1913.0,1914.1,3568.0
IC MARKETS:10012,2023-08-11 13:30:00,1914.2,1921.59,1912.05,1918.79,8008.0
