symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-10 23:15:00,1924.04,1924.19,1923.94,1924.14,32.0
IC MARKETS:10012,2023-08-10 23:20:00,1924.04,1924.44,1924.04,1924.44,40.0
IC MARKETS:10012,2023-08-10 23:25:00,1924.49,1924.59,1924.44,1924.59,46.0
IC MARKETS:10012,2023-08-10 23:30:00,1924.64,1925.19,1924.59,1925.04,106.0
IC MARKETS:10012,2023-08-10 23:35:00,1925.09,1925.39,1924.94,1925.04,64.0
IC MARKETS:10012,2023-08-10 23:40:00,1924.99,1925.04,1924.84,1924.89,60.0
IC MARKETS:10012,2023-08-10 23:45:00,1924.84,1925.24,1924.74,1925.19,120.0
IC MARKETS:10012,2023-08-10 23:50:00,1925.14,1925.24,1924.29,1924.34,88.0
IC MARKETS:10012,2023-08-10 23:55:00,1924.24,1924.64,1924.09,1924.49,118.0
IC MARKETS:10012,2023-08-11 00:00:00,1924.44,1924.69,1924.19,1924.64,212.0
IC MARKETS:10012,2023-08-11 00:05:00,1924.69,1924.94,1924.34,1924.64,120.0
IC MARKETS:10012,2023-08-11 00:10:00,1924.54,1924.94,1924.29,1924.74,150.0
IC MARKETS:10012,2023-08-11 00:15:00,1924.69,1925.24,1924.59,1925.04,168.0
IC MARKETS:10012,2023-08-11 00:20:00,1925.09,1925.29,1924.89,1925.24,110.0a
IC MARKETS:10012,2023-08-11 00:25:00,1925.29,1925.49,1925.14,1925.39,132.0
IC MARKETS:10012,2023-08-11 00:30:00,1925.49,1925.49,1924.84,1924.84,134.0
IC MARKETS:10012,2023-08-11 00:35:00,1924.79,1925.04,1924.74,1925.04,84.0
IC MARKETS:10012,2023-08-11 00:40:00,1924.99,1925.09,1924.84,1924.89,78.0
IC MARKETS:10012,2023-08-11 00:45:00,1924.99,1925.99,1924.89,1925.94,190.0
IC MARKETS:10012,2023-08-11 00:50:00,1925.89,1926.39,1925.79,1925.79,154.0
IC MARKETS:10012,2023-08-11 00:55:00,1925.84,1926.04,1925.74,1925.89,124.0
IC MARKETS:10012,2023-08-11 01:00:00,1926.04,1926.29,1925.84,1926.09,182.0
IC MARKETS:10012,2023-08-11 01:05:00,1926.04,1926.19,1925.69,1925.79,132.0
IC MARKETS:10012,2023-08-11 01:10:00,1925.74,1925.84,1925.34,1925.44,90.0
IC MARKETS:10012,2023-08-11 01:15:00,1925.49,1926.04,1925.29,1925.94,196.0
IC MARKETS:10012,2023-08-11 01:20:00,1925.89,1925.94,1924.94,1925.09,180.0
IC MARKETS:10012,2023-08-11 01:25:00,1925.14,1925.59,1925.09,1925.24,130.0
IC MARKETS:10012,2023-08-11 01:30:00,1925.29,1925.54,1924.04,1924.04,242.0
IC MARKETS:10012,2023-08-11 01:35:00,1924.14,1925.09,1924.09,1924.74,222.0
IC MARKETS:10012,2023-08-11 01:40:00,1924.84,1924.89,1924.19,1924.64,120.0
IC MARKETS:10012,2023-08-11 01:45:00,1924.69,1925.39,1924.34,1925.34,154.0
IC MARKETS:10012,2023-08-11 01:50:00,1925.24,1925.39,1924.24,1924.24,186.0
IC MARKETS:10012,2023-08-11 01:55:00,1924.14,1924.34,1923.44,1923.59,172.0
IC MARKETS:10012,2023-08-11 02:00:00,1923.64,1923.64,1922.64,1923.04,192.0
IC MARKETS:10012,2023-08-11 02:05:00,1923.09,1923.39,1922.74,1923.14,186.0
IC MARKETS:10012,2023-08-11 02:10:00,1923.09,1923.74,1923.04,1923.54,136.0
IC MARKETS:10012,2023-08-11 02:15:00,1923.64,1923.69,1923.34,1923.64,136.0
IC MARKETS:10012,2023-08-11 02:20:00,1923.59,1923.59,1921.59,1921.99,202.0
IC MARKETS:10012,2023-08-11 02:25:00,1922.04,1922.14,1921.39,1921.64,194.0
IC MARKETS:10012,2023-08-11 02:30:00,1921.79,1922.04,1921.14,1921.94,200.0
IC MARKETS:10012,2023-08-11 02:35:00,1921.89,1921.94,1921.39,1921.54,168.0
IC MARKETS:10012,2023-08-11 02:40:00,1921.59,1921.89,1921.34,1921.54,134.0
IC MARKETS:10012,2023-08-11 02:45:00,1921.49,1921.84,1921.49,1921.59,132.0
IC MARKETS:10012,2023-08-11 02:50:00,1921.54,1921.54,1920.89,1920.94,146.0
IC MARKETS:10012,2023-08-11 02:55:00,1920.89,1921.84,1920.89,1921.49,156.0
IC MARKETS:10012,2023-08-11 03:00:00,1921.59,1922.14,1921.49,1922.14,190.0
IC MARKETS:10012,2023-08-11 03:05:00,1922.04,1922.34,1921.94,1922.04,138.0
IC MARKETS:10012,2023-08-11 03:10:00,1922.09,1922.29,1921.94,1921.99,142.0
IC MARKETS:10012,2023-08-11 03:15:00,1921.94,1922.09,1921.29,1922.04,186.0
IC MARKETS:10012,2023-08-11 03:20:00,1922.09,1922.14,1921.74,1921.89,92.0
IC MARKETS:10012,2023-08-11 03:25:00,1921.94,1922.64,1921.54,1922.64,120.0
IC MARKETS:10012,2023-08-11 03:30:00,1922.69,1922.74,1921.89,1921.89,160.0
IC MARKETS:10012,2023-08-11 03:35:00,1921.84,1921.89,1919.94,1920.34,230.0
IC MARKETS:10012,2023-08-11 03:40:00,1920.24,1920.34,1919.79,1920.14,146.0
IC MARKETS:10012,2023-08-11 03:45:00,1920.24,1920.34,1919.94,1919.94,106.0
IC MARKETS:10012,2023-08-11 03:50:00,1920.04,1920.44,1919.89,1920.34,106.0
IC MARKETS:10012,2023-08-11 03:55:00,1920.29,1920.64,1920.29,1920.34,80.0
IC MARKETS:10012,2023-08-11 04:00:00,1920.29,1920.49,1919.64,1919.84,114.0
IC MARKETS:10012,2023-08-11 04:05:00,1919.74,1920.09,1919.64,1920.09,74.0
IC MARKETS:10012,2023-08-11 04:10:00,1919.99,1920.04,1919.39,1919.59,168.0
